primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,end Date,ending_date,notes,assigned_date
30,"Genetic Engineering, Inc.",NA,P.O. Box 33554,Northglenn,CO,80233,303.457.1311,Assigned 11/12/1980,End Date 05/18/2006,2006-05-18,Formerly assigned to Western Breeders 08/12/1970,1980-11-12T00:00:00Z
31,Golden State Breeders,NA,P.O. Box 575,Escalon,CA,95320,209.838.2342,Assigned 08/29/1970,NA,NA,Formerly assigned to The Bull Bank,1970-08-29T00:00:00Z
32,"Larry Moore Ranch, Inc.",NA,NA,Suamico,WI,54173,NA,Assigned 10/06/1970,NA,NA,NA,1970-10-06T00:00:00Z
33,Excelsior Farms Custom Freezing Service,NA,7401 Hamner Avenue,Corona,CA,91720,"909.737.2343, Fax:909.737.2344",Assigned 12/29/1978,End Date 02/13/2006,2006-02-13,"Formerly assigned V.C. Bunker, D.V.M. 10/25/1970",1978-12-29T00:00:00Z
34,Nokota Genetics,NA,Route 1 Box 143,Minot,ND,58701,"701.838.9389, Fax:701.839.3078",Assigned 10/28/1982,End Date 12/30/2005,2005-12-30,Formerly assigned Matanuska Valley Breeders Association 12/01/1970,1982-10-28T00:00:00Z
35,Spring Creek Ranch,NA,380 Collierville-Arlington Road,Collierville,TN,38017,901.853.7660,Assigned 10/28/1982,End Date 05/18/2006,2006-05-18,Formerly assigned to Eastern Frozen Semen Services 12/01/1970,1982-10-28T00:00:00Z
36,"North American Breeders, Inc.",NA,"P.O. Box 228, 1075 West Main Street",Berryville,VA,22611,"540.955.3647, Fax:540.955.2298",Assigned 12/01/1970,NA,NA,NA,1970-12-01T00:00:00Z
37,"GENEX Cooperative, Inc. and Holland Genetics-Joint Venture Program",Genex,"100 MBC Drive, P.O. Box 469",Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 10/31/2005,End Date 08/14/2008,2008-08-14,"Formerly assigned to 21st Century Genetics, New Prague, MN; Southern Breeders Ltd. 01/29/1970",2005-10-31T00:00:00Z
38,Big Beef Hybrids,NA,Box 248,Stillwater,MN,55082,NA,Assigned 03/05/1971,NA,NA,NA,1971-03-05T00:00:00Z
39,WESTGEN,NA,"6681 Glover Road (Langley, BC) Box 40",Milner,BC,V0X 1T0 CANADA,"604.530.1141, Fax:604.530.6892",Assigned 04/29/1971,End Date 02/14/2012,2012-02-14,Formerly assigned to British Columbia AI Centre,1971-04-29T00:00:00Z
40,Curtis Breeding Industries,NA,NA,Cary,IL,60013,NA,Assigned 07/26/1971,End Date 5/18/2006,2006-05-18,Formerly assigned to Curtiss Breeding Service,1971-07-26T00:00:00Z
41,GENEX Dakota Sire Service,Genex,40275 257th Street,Mitchell,SD,57301,"605.996.9100, Fax:605.996.0611",Assigned 02/29/2008,NA,NA,"Formerly assigned to Sire Management Services, LLC; Noba Laboratories 10/22/1971; Noba-Georgia 04/08/1974; D&D Bull Motel 06/21/1985",2008-02-29T00:00:00Z
42,Southwest AI Custom Freezing Center,NA,Route 1 Box 50-A,Ponder,TX,76259,NA,Assigned 11/10/1971,End Date 5/18/2006,2006-05-18,NA,1971-11-10T00:00:00Z
43,"International Genes, Inc.",NA,2120 Argonne Drive,Minneapolis,MN,54421,NA,Assigned 03/01/1972,End Date 5/18/2006,2006-05-18,NA,1972-03-01T00:00:00Z
44,Central Valley Dairy Breeders,NA,11110 Sierra Road,Oakdale,CA,95361,"559.798.2290, Fax:559.798.0103",Assigned 06/08/1993,NA,NA,"Formerly assigned to Adohr Dairy Farms, Box 88, Camarillo CA 93010 06/26/1972",1993-06-08T00:00:00Z
45,Artificial Insemination Program of Puerto Rico,NA,Box 726,Dorado,PR,646,NA,Assigned 01/30/1974,End Date 5/18/2006,2006-05-18,"Formerly Select Sires, Columbus, OH 07/05/1972",1974-01-30T00:00:00Z
46,Wye Plantation,NA,NA,Queenstown,MD,21658,NA,Assigned 08/15/1972,End Date 5/18/2006,2006-05-18,NA,1972-08-15T00:00:00Z
47,"Continental Genetics, LLC",NA,PO Box 398 (7651 Airline Highway,Livonia,LA,70755,225.637.2697,Assigned 01/05/2015,NA,NA,Formerly assigned to GENEX Cooperative 11/1/85; Louisiana Animal Breeders Cooperative; Pioneer Beef Cattle Company 01/30/1974,2015-01-05T00:00:00Z
48,"Lookout Mountain Genetics, LLC",NA,200 Valhalla SE,Fort Payne,AL,35967,"256.845.2530, Fax:256.845.7201",Reassigned 09/05/2014,NA,NA,Formerly 21st Century Custom Service; Midwest Breeders Custom Service; GENEX Custom-AL,2014-09-05T00:00:00Z
49,"Show Me Genetic Services, LLC.",Genex,8134 East State Highway C,Strafford,MO,65757,"417.736.2125, Fax:417.736.3312",Assigned 11/04/2019,NA,NA,Formerly assigned to Genex Custom Collection Service 11/25/1985; Maryland Artificial Breeding Cooperative 01/30/1974,2019-11-04T00:00:00Z
50,Sire Power Custom Freezing Service,Select Sires,NA,Tunkhannock,PA,NA,NA,Assigned 08/13/1974,End Date 01/13/2006,2006-01-13,"Formerly assigned to West Virginia Artificial Breeders Cooperative, Box 555, Frederick, MD 21701, 11/30/1974",1974-08-13T00:00:00Z
51,Ontario Swine Association,NA,P.O. Box 457,Woodstock,ON,N4S 7Y7 CANADA,519.539.5636,Assigned 12/31/1975,End Date 5/18/2006,2006-05-18,Formerly assigned to Codding Cattle Research,1975-12-31T00:00:00Z
52,Colorado State University,NA,Animal Reproduction Laboratory,Fort Collins,CO,80523,"970.491.5287, Fax:970.491.3557",Assigned 01/30/1974,End Date 03/13/2008,2008-03-13,NA,1974-01-30T00:00:00Z
53,General Genetics,NA,13811 Cypress,Sand Lake,MI,49343,616.636.5032,Assigned 1/30/1974,End Date 01/03/2006,2006-01-03,NA,NA
54,Hawkeye Breeders Service,Hawkeye Breeders,32642 Old Portland Road,Adel,IA,50003,"515.993.4711, Fax:515.993.4176",Assigned 01/30/1974,NA,NA,NA,1974-01-30T00:00:00Z
55,"International Cryo Biological Service, Inc.",NA,1935 West Country Road B-2,Saint Paul,MN,55113,NA,Assigned 1/30/1974,End Date 09/04/1980,1980-09-04,NA,NA
56,Ultimate Genetics,NA,P.O Box 314,Wheelock,TX,77882,"979.828.2248, Fax:979.828.2251",Assigned 01/30/1974,End Date 04/20/2010,2010-04-20,Formerly Medina Valley AI Laboratory,1974-01-30T00:00:00Z
57,New Breeds Industries,NA,Box 959,Manhattan,KS,66502,913.537.2914,Assigned 1/30/1974,End Date 5/18/2006,2006-05-18,NA,NA
58,Pioneer Beef Cattle Company,NA,Box 37,Johnston,IA,50323,NA,Assigned 10/01/1972,NA,NA,NA,1972-10-01T00:00:00Z
59,"Rocky Mountain Sire Services, Inc.",NA,1616 North Manila Road,Bennett,CO,80102,"303.644.3246, Fax:303.644.3554",Assigned 09/09/1977,NA,NA,Formerly assigned to Ankony Shadow Isle; Premier Breeding Center,1977-09-09T00:00:00Z
60,Alden Rose Breeding Service,NA,208 East 400 South,Jerome,ID,83338,208.324.2289,Assigned 01/30/1974, End Date 05/14/2007,2007-05-14,NA,1974-01-30T00:00:00Z
61,Soligenics Frozen Semen Service,NA,584 Thompsonville Road,Suffield,CT,6078,860.668.2602,Assigned 01/30/1974,End Date 12/16/2005,2005-12-16,NA,1974-01-30T00:00:00Z
62,Southeastern Frozen Semen Service,NA,"3522 New Berlin, Box 26088",Jacksonville,FL,32218,NA,Assigned 01/30/1974,End Date 5/18/2006,2006-05-18,NA,1974-01-30T00:00:00Z
63,"Topline AI Service, Inc.",NA,"Route 10, Galyon Lane",Knoxville,TN,37920,NA,Assigned 01/30/1974,End Date 10/05/1979,1979-10-05,NA,1974-01-30T00:00:00Z
64,West Tennessee Artificial Breeding Association,NA,Box 38,Yorkville,TN,38389,NA,Assigned 01/30/1974,End Date 05/27/1980,1980-05-27,NA,1974-01-30T00:00:00Z
65,Roy Selover Company Livestock Enterprises,NA,924 Elm Street,Modesto,CA,95351,NA,Assigned 01/30/1974,End Date 5/18/2006,2006-05-18,NA,1974-01-30T00:00:00Z
66,"BOV Imports, Inc.",NA,205 Livestock Exchange Building,Denver,CO,80216,NA,Assigned 01/30/1974,End Date 5/18/2006,2006-05-18,NA,1974-01-30T00:00:00Z
67,"Canadian Stock Breeders Service, Ltd.",NA,Box 98,Winterburn,AB,CANADA,NA,Assigned 01/30/1974,End Date 5/18/2006,2006-05-18,NA,1974-01-30T00:00:00Z
68,Chilliwack Artificial Insemination Centre,NA,10119 Kent Road,Chilliwack,BC,CANADA,NA,Assigned 01/30/1974,End Date 10/22/1979,1979-10-22,NA,1974-01-30T00:00:00Z
69,"Nova Scotia Animal Breeders Cooperative, Ltd.",NA,Route 1,Truro,NS,CANADA,902.895.1519,Assigned 01/30/1974,End Date 12/29/2005,2005-12-29,NA,1974-01-30T00:00:00Z
70,Semex Alliance,Semex Alliance,"595 County Road 44, PO Box 99",Kemptville,ON,K0G 1J0 CANADA,"613.258.5944, Fax:613.258.3719",Assigned 01/30/1974,NA,NA,"Formerly assigned to EastGen; Eastern Breeders, Inc.",1974-01-30T00:00:00Z
71,Semex Alliance,Semex Alliance,"5653 Hwy 6 North, RR #5",Guelph,ON,N1H 6J2 CANADA,"519.821.5060, Fax:519.821.7225",Assigned 01/30/1974,NA,NA,"Formerly assigned to EastGen; United Breeders, Inc.; Gencor, Inc.",1974-01-30T00:00:00Z
72,EastGen Inc.,NA,7660 Mill Road,Guelph,ON,N1H 6J1 CANADA,"519.821.2150, Fax:519.763.6582",Assigned 01/30/1974,NA,NA,"Formerly assigned to Western Ontario Breeders, Inc.; Gencor, Inc.",1974-01-30T00:00:00Z
73,Semex Alliance,Semex Alliance,875 Boulevard Laurier Quest,Ste-Madeleine,QC,J0H 1S0 CANADA,"450.774.1450, Fax:450.774.9471",Assigned 01/30/1974,NA,NA,"Formerly assigned to Centre D'Insemination Artificelle du Quebec,Inc. (CIAQ)",1974-01-30T00:00:00Z
74,Universal Genetics Ltd.,NA,P.O. Box 1348,Okotoks,AB,T1S 1B3 CANADA,403.630.4391,Assigned 01/30/1974,End Date 04/30/2007,2007-04-30,"Formerly assigned to Universal Semen Service, Ltd.",1974-01-30T00:00:00Z
75,"High Plains Genetics, LLC",NA,13171 High Plains Place,Piedmont,SD,57769,"605.787.4808, Fax:605.787.7127",Assigned 10/27/1983,NA,NA,Formerly assigned to Y Tex Corporation,1983-10-27T00:00:00Z
76,"Inguran, LLC dba STgenetics-Taurus",STgenetics,"125 Taurus Lane, P.O. Box 164",Mehoopany,PA,18629,"570.833.5513, Fax:570.833.2690",Assigned 03/22/1974,NA,NA,"Formerly assigned to Taurus Service, Inc.",1974-03-22T00:00:00Z
77,Pan American Breeders,NA,Box 818,Terrell,TX,75160,NA,Assigned 04/08/1974,End Date 5/18/2006,2006-05-18,NA,1974-04-08T00:00:00Z
78,GENEX Cooperative,Genex,522 Sheffield Road,Ithaca,NY,14850,"607.272.2011, Fax:607.272.3928","Assigned 05/02/1974; Reactivated: January, 2011",NA,NA,Formerly known as Genex Cooperative Custom Semen Service,1974-05-02T00:00:00Z
79,Northeast Frozen Semen Service,NA,P.O. Box 153,Lafayette,NC,13084,NA,Assigned 06/21/1974,End Date 5/18/2006,2006-05-18,NA,1974-06-21T00:00:00Z
80,STgenetics Canada ULC,Stgenetics,"7970 Perth Road 147, Route 4",Listowel,ON,N4W 3G9 CANADA,"519.291.9916, Fax:519.291.3532",Assigned 09/27/2005,NA,NA,"Formerly known as Cogent Canada Corp; Foundation Genetics Service, Inc.; Steele's Semen Service",2005-09-27T00:00:00Z
81,"Hybrid Vigor, Inc.",NA,NA,Buffalo Valley,TN,38548,NA,Assigned 07/16/1974,End Date 03/21/2006,2006-03-21,NA,1974-07-16T00:00:00Z
82,North Carolina State University,NA,P.O. Box 5127,Raleigh,NC,27607,NA,Assigned 07/05/1974,End Date 5/18/2006,2006-05-18,NA,1974-07-05T00:00:00Z
83,"Illini Sire Service, Inc.",NA,201 Park Street,Cornell,IL,61319,815.358.2897,Assigned 07/05/1974,End Date 5/18/2006,2006-05-18,"Formerly assigned to Bovine Cryogenics, Inc.",1974-07-05T00:00:00Z
84,Landmark Genetics Custom Freezing Business,NA,Box 939,Hughson,CA,95326,209.883.4001,Assigned 07/16/1974,End Date 03/21/2006,2006-03-21,Formerly assigned to Carnation/Genetics,1974-07-16T00:00:00Z
85,Tri-State Breeders Cooperative Custom Freezing Business,NA,NA,Westby,WI,54467,608.356.8357,Assigned 07/16/1974,End Date 03/03/2006,2006-03-03,NA,1974-07-16T00:00:00Z
86,Ozark Bull Center,NA,Route 4 Box 223,Ava,MO,65608,417.683.3894,Assigned 07/30/1974,End Date 5/18/2006,2006-05-18,NA,1974-07-30T00:00:00Z
87,Arizona Bull Center Custom Semen Freezing Service,NA,14217 North 51st Avenue,Glendale,AZ,85306,NA,Assigned 07/30/1974,End Date 5/18/2006,2006-05-18,NA,1974-07-30T00:00:00Z
88,Frontier Genetics,NA,80756 Hickey Lane,Hermiston,OR,97838,541.567.2930,Assigned 02/10/1997,End Date 03/22/2012,2012-03-22,Formerly assigned to Oasis Genetics; International Breeders Service; Gibson's Custom Collection Service,1997-02-10T00:00:00Z
89,New Brunswick Central AI Cooperative Ltd.,NA,Box 1567,Fredericton,NB,E3B 5G2 CANADA,506.454.3327,Assigned 08/20/1974,End Date 5/18/2006,2006-05-18,NA,1974-08-20T00:00:00Z
90,GENEX-Hawkeye West,Genex,3800 Duck Creek Road,Billings,MT,59101,"406.656.9034, Fax:406.656.9870",Assigned 08/13/1992,NA,NA,Formerly assigned to Hawkeye West; Big Sky Genetics,1992-08-13T00:00:00Z
91,Dependa-Bull Genetics,NA,5301 Knoxboro Road,Munnsville,NY,13409,"315.829.2250, Fax:315.829.2250",Reassigned 1/20/2012,NA,NA,Assigned 10/03/1974; End date 6/22/2020,NA
92,"AI International, Ltd.",NA,"Route 2, Box 136-E",Philomath,OR,97370,NA,Assigned 10/03/1974,End Date 5/18/2006,2006-05-18,NA,1974-10-03T00:00:00Z
93,Smith Livestock Service,NA,Box 775,Roundup,MT,59072,NA,Assigned 11/04/1974,End Date 5/18/2006,2006-05-18,NA,1974-11-04T00:00:00Z
94,ABS Global,ABS Global,"P.O. Box 459, 1525 River Road",Deforest,WI,53532,"608.846.3721, Fax:608.846.6444 or 6446",Assigned 12/02/1974; Marketing only 01/04/2018,NA,NA,"Formerly assigned to St. Jacobs ABC, Elmira, ON CANADA",1974-12-02T00:00:00Z
95,"Canadian Genetics, Ltd.",NA,Box 6,Yorktown,SK,S3N 2V6 CANADA,NA,Assigned 12/02/1974,NA,NA,Formerly assigned to Saskatchewan Artificial Breeders Cooperative Ltd.,1974-12-02T00:00:00Z
96,Hualalai Ranch & Vet Clinic Reproduction Lab,NA,"Route 1, Box 394",Holualoa,HI,96725,808.325.7112,Assigned 12/06/1974,NA,NA,NA,1974-12-06T00:00:00Z
97,CRV Holding B.V.,CRV Holding,P.O. Box 454,Arnhem 6800 AL,NA,THE NETHERLANDS,"31 26 3898522, Fax:31 26 3898591",Assigned 09/22/1997,NA,NA,NA,1997-09-22T00:00:00Z
98,Cattle Reproduction Inc.,NA,4527 88th Street,Omaha,NE,68127,NA,Assigned 03/20/1975,End Date 5/18/2006,2006-05-18,NA,1975-03-20T00:00:00Z
99,Hoffman A.I. Breeders,NA,1950 South Highway 89-91,Logan,UT,84321,"435.753.7883, Fax:435.753.2951",Assigned 03/12/1985,NA,NA,Formerly assigned to Hi Country AI,1985-03-12T00:00:00Z
100,"JLG Enterprises, Inc.",JLG Enterprises,P.O. Box 1375,Oakdale,CA,95361,"209.847.4797, Fax:209.847.5874",Assigned 04/22/1975,NA,NA,Formerly assigned to JLG Custom Freezing Service,1975-04-22T00:00:00Z
101,Johansen's Custom Collecting and Freezing Service,NA,Route 3 Box 3144,Nampa,ID,83650,NA,Assigned 04/22/1975,End Date 5/18/2006,2006-05-18,NA,1975-04-22T00:00:00Z
102,Agro Brothers Ltd.,NA,Route 2,Hamilton,ON,CANADA,NA,Assigned 04/22/1975,End Date 5/18/2006,2006-05-18,NA,1975-04-22T00:00:00Z
103,Treasure Valley Breeding Service,NA,P.O. Box 615,Meridan,ID,83642,NA,Assigned 06/06/1975,End Date 5/18/2006,2006-05-18,NA,1975-06-06T00:00:00Z
104,Newk's Semen Processing,NA,Route 1,Mount Vernon,MO,65712,NA,Assigned 02/14/1976,End Date 5/18/2006,2006-05-18,NA,1976-02-14T00:00:00Z
105,AI Breeding Service,NA,3668 Summerhill,Carson City,NV,89701,NA,Assigned 06/22/1976,End Date 5/18/2006,2006-05-18,NA,1976-06-22T00:00:00Z
106,"Nebraska Bull Service, a division of Vogler Semen Centre",Vogler Semen Centre,"38364 Road 720, P.O. Box 998",McCook,NE,69001,"308.345.2900, Fax:308.345.2632",Assigned 02/14/1977,NA,NA,NA,1977-02-14T00:00:00Z
107,AA Breeders,NA,214 Eagle Drive,McGregor,IA,52157,"563.880.2732, Fax:563.873.3180",Assigned 03/10/1977,End Date 06/18/2021,2021-06-18,"Formerly P.O. Box 161, Fayette, IA 52142",1977-03-10T00:00:00Z
108,Minnesota Valley Breeders Association,NA,Custom Collection Service,New Prague,MN,56071,612.758.4443,Assigned 05/02/1977,End Date 5/18/2006,2006-05-18,NA,1977-05-02T00:00:00Z
109,Bullnanza,NA,908 North Prairie Road,Stillwater,OK,74075,"405.377.8037, Fax:405.377.4541",Assigned REI 12/19/1977. Bullnanza 11/23/2021,End Date 11/22/2021,2021-11-22,"formerly known as Reproduction Enterprises, Inc. (REI)",1977-12-19T00:00:00Z
110,Western Herd Sires/Delta G,NA,P.O. Box 1807,Turlock,CA,95380,209.667.2323,Assigned 01/03/1978,End Date 5/18/2006,2006-05-18,NA,1978-01-03T00:00:00Z
111,Longview Marketing Inc.,NA,P.O. Box 297,Mead,CO,80542,NA,Assigned 03/02/1979,End Date 5/18/2006,2006-05-18,NA,1979-03-02T00:00:00Z
112,Ministry of Agriculture & Fisheries,NA,"Livestock Development Division, Old Harbour P.O.",Bodles,NA,"Jamaica, West Indies",NA,Assigned 02/01/1978,End Date 5/18/2006,2006-05-18,NA,1978-02-01T00:00:00Z
113,Center Insemination Porcine du Quebec,NA,"C.P. 220, St. Lambert de Levis",Beauce Nord,QC,G0S 2W0 CANADA,NA,Assigned 04/25/1978,End Date 5/18/2006,2006-05-18,NA,1978-04-25T00:00:00Z
114,Alta Genetics,Alta Genetics,P.O. Box 3608 (280212 Range Road 292A),Airdrie,AB,T4B 2B8 CANADA,"403.946.5668, Fax:403.946.5721",Assigned 08/31/1978,End Date 01/01/2020,2020-01-01,Formerly assigned to Independent Breeders Service,1978-08-31T00:00:00Z
115,Alberta Swine Breeding Center,NA,Route 2,Leduc,AB,T0E 2X2 CANADA,NA,Assigned 04/04/1979,End Date 5/18/2006,2006-05-18,NA,1979-04-04T00:00:00Z
116,Bainbrook Dairy Goat AI Center,NA,NA,Milgrove,ON,CANADA,NA,Assigned 04/04/1979,End Date 5/18/2006,2006-05-18,NA,1979-04-04T00:00:00Z
117,"International Agricultural Services, Inc.",NA,320 Judah Street,San Francisco,CA,94122,415.664.4636,Assigned 06/13/1980,End Date 5/18/2006,2006-05-18,NA,1980-06-13T00:00:00Z
118,Superior Genetics,NA,P.O. Box 189,Shandon,OH,45063,513.738.3885,Assigned 12/24/1980,End Date 05/13/2008,2008-05-13,"Formerly assigned to Ohio Breeders Supply, 2864 Chapel Road, Okeana, OH 45053",1980-12-24T00:00:00Z
119,Southern Genetic Services,NA,Route 1 Box 63-B,Poteau,OK,74953,918.647.8145,Assigned 10/23/1981,End Date 01/04/2006,2006-01-04,Formerly assigned to Southeastern Oklahoma Reproduction Services,1981-10-23T00:00:00Z
120,Zimmerman's Custom Freezing,NA,131 Red Well Road,New Holland,PA,17557,717.940.1430,Assigned 08/11/1983,NA,NA,"Formerly Better Life Research, Inc.",1983-08-11T00:00:00Z
121,"Advanced Genetics, Inc.",Select Sires,Route 2,Leesburg,ID,46538,219.453.3602,Assigned 09/19/1983,End Date 5/18/2006,2006-05-18,NA,1983-09-19T00:00:00Z
122,URUS,Urus,P.O. Box 469 (100 MBC Drive),Shawano,WI,54166,715.526.7565,Assigned 06/01/1995; Marketing only beginning 10/27/2018,NA,NA,"Formerly assigned to Alta California; Network Genetics; Spermco, Inc. (10/27/1983)",1995-06-01T00:00:00Z
123,J.N. Farnham Custom Freezing Service,NA,8338 West Glenrosa Avenue,Phoenix,AZ,85037,NA,Assigned 01/14/1984,End Date 5/18/2006,2006-05-18,NA,1984-01-14T00:00:00Z
124,"Texas Breeders Service, Inc.",NA,P.O. Box 1635,San Marcos,TX,78667,512.357.6162,Assigned 02/06/1984,End Date 5/18/2006,2006-05-18,Formerly assigned to Genetic Resources,1984-02-06T00:00:00Z
125,Southeastern Reproduction Center,NA,"Route 3, Box 216",Graceville,FL,32440,904.263.6983,Assigned 04/19/1984,End Date 5/18/2006,2006-05-18,NA,1984-04-19T00:00:00Z
126,Price's Embryo Genetics,NA,1601 East Second Street,Rosewell,NM,88201,505.622.2181,Assigned 04/24/1984,End Date 5/18/2006,2006-05-18,NA,1984-04-24T00:00:00Z
