primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,notes
31,Golden State Breeders,,P.O. Box 575,Escalon,CA,95320,209.838.2342,Assigned 08/29/1970,Formerly assigned to The Bull Bank
32,"Larry Moore Ranch, Inc.",,,Suamico,WI,54173,,Assigned 10/06/1970; End Date,
33,Excelsior Farms Custom Freezing Service,,7401 Hamner Avenue,Corona,CA,91720,"909.737.2343, Fax:909.737.2344",Assigned 12/29/1978; End Date 02/13/2006,"Formerly assigned V.C. Bunker, D.V.M. 10/25/1970"
34,Nokota Genetics,,Route 1 Box 143,Minot,ND,58701,"701.838.9389, Fax:701.839.3078",Assigned 10/28/1982; End Date 12/30/2005,Formerly assigned Matanuska Valley Breeders Association 12/01/1970
35,Spring Creek Ranch,,380 Collierville-Arlington Road,Collierville,TN,38017,901.853.7660,Assigned 10/28/1982; End Date 05/18/2006,Formerly assigned to Eastern Frozen Semen Services 12/01/1970
36,"North American Breeders, Inc.",,"P.O. Box 228, 1075 West Main Street",Berryville,VA,22611,"540.955.3647, Fax:540.955.2298",Assigned 12/01/1970,
37,"GENEX Cooperative, Inc. and Holland Genetics-Joint Venture Program",Genex,"100 MBC Drive, P.O. Box 469",Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 10/31/2005; End Date 08/14/2008,"Formerly assigned to 21st Century Genetics, New Prague, MN; Southern Breeders Ltd. 01/29/1970"
38,Big Beef Hybrids,,Box 248,Stillwater,MN,55082,,Assigned 03/05/1971; End Date,
39,WESTGEN,,"6681 Glover Road (Langley, BC) Box 40",Milner,BC,V0X 1T0 CANADA,"604.530.1141, Fax:604.530.6892",Assigned 04/29/1971; End Date 02/14/2012,Formerly assigned to British Columbia AI Centre
40,Curtis Breeding Industries,,,Cary,IL,60013,,Assigned 07/26/1971; End Date 5/18/2006,Formerly assigned to Curtiss Breeding Service
41,GENEX Dakota Sire Service,Genex,40275 257th Street,Mitchell,SD,57301,"605.996.9100, Fax:605.996.0611",Assigned 02/29/2008,"Formerly assigned to Sire Management Services, LLC; Noba Laboratories 10/22/1971; Noba-Georgia 04/08/1974; D&D Bull Motel 06/21/1985"
42,Southwest AI Custom Freezing Center,,Route 1 Box 50-A,Ponder,TX,76259,,Assigned 11/10/1971; End Date 05/18/2006,
43,"International Genes, Inc.",,2120 Argonne Drive,Minneapolis,MN,54421,,Assigned 03/01/1972; End Date 05/18/2006,
44,Central Valley Dairy Breeders,,11110 Sierra Road,Oakdale,CA,95361,"559.798.2290, Fax:559.798.0103",Assigned 06/08/1993,"Formerly assigned to Adohr Dairy Farms, Box 88, Camarillo CA 93010 06/26/1972"
45,Artificial Insemination Program of Puerto Rico,,Box 726,Dorado,PR,00646,,Assigned 01/30/1974; End Date 05/18/2006,"Formerly Select Sires, Columbus, OH 07/05/1972"
46,Wye Plantation,,,Queenstown,MD,21658,,Assigned 08/15/1972; End Date 05/18/2006,
47,"Continental Genetics, LLC",,PO Box 398 (7651 Airline Highway,Livonia,LA,70755,225.637.2697,Assigned 01/05/2015,Formerly assigned to GENEX Cooperative 11/1/85; Louisiana Animal Breeders Cooperative; Pioneer Beef Cattle Company 01/30/1974
48,"Lookout Mountain Genetics, LLC",,200 Valhalla SE,Fort Payne,AL,35967,"256.845.2530, Fax:256.845.7201",Reassigned 09/05/2014,Formerly 21st Century Custom Service; Midwest Breeders Custom Service; GENEX Custom-AL
49,"Show Me Genetic Services, LLC.",Genex,8134 East State Highway C,Strafford,MO,65757,"417.736.2125, Fax:417.736.3312",Assigned 11/04/2019,Formerly assigned to Genex Custom Collection Service 11/25/1985; Maryland Artificial Breeding Cooperative 01/30/1974
50,Sire Power Custom Freezing Service,Select Sires,,Tunkhannock,PA,,,Assigned 08/13/1974; End Date 01/13/2006,"Formerly assigned to West Virginia Artificial Breeders Cooperative, Box 555, Frederick, MD 21701, 11/30/1974"
51,Ontario Swine Association,,P.O. Box 457,Woodstock,ON,N4S 7Y7 CANADA,519.539.5636,Assigned 12/31/1975; End Date 05/18/2006,Formerly assigned to Codding Cattle Research
52,Colorado State University,,Animal Reproduction Laboratory,Fort Collins,CO,80523,"970.491.5287, Fax:970.491.3557",Assigned 01/30/1974; End Date 03/13/2008,
53,General Genetics,,13811 Cypress,Sand Lake,MI,49343,616.636.5032,Assigned 1/30/1974; End Date 01/03/2006,
54,Hawkeye Breeders Service,Hawkeye Breeders,32642 Old Portland Road,Adel,IA,50003,"515.993.4711, Fax:515.993.4176",Assigned 01/30/1974,
55,"International Cryo Biological Service, Inc.",,1935 West Country Road B-2,Saint Paul,MN,55113,,Assigned 1/30/1974; End Date 09/04/1980,
56,Ultimate Genetics,,P.O Box 314,Wheelock,TX,77882,"979.828.2248, Fax:979.828.2251",Assigned 01/30/1974; End Date 04/20/2010,Formerly Medina Valley AI Laboratory
57,New Breeds Industries,,Box 959,Manhattan,KS,66502,913.537.2914,Assigned 1/30/1974; End Date 05/18/2006,
58,Pioneer Beef Cattle Company,,Box 37,Johnston,IA,50323,,Assigned 10/01/1972; End Date,
59,"Rocky Mountain Sire Services, Inc.",,1616 North Manila Road,Bennett,CO,80102,"303.644.3246, Fax:303.644.3554",Assigned 09/09/1977,Formerly assigned to Ankony Shadow Isle; Premier Breeding Center
60,Alden Rose Breeding Service,,208 East 400 South,Jerome,ID,83338,208.324.2289,Assigned 01/30/1974; End Date 05/14/2007,
61,Soligenics Frozen Semen Service,,584 Thompsonville Road,Suffield,CT,06078,860.668.2602,Assigned 01/30/1974; End Date 12/16/2005,
62,Southeastern Frozen Semen Service,,"3522 New Berlin, Box 26088",Jacksonville,FL,32218,,Assigned 01/30/1974; End Date 05/18/2006,
63,"Topline AI Service, Inc.",,"Route 10, Galyon Lane",Knoxville,TN,37920,,Assigned 01/30/1974; End Date 10/05/1979,
64,West Tennessee Artificial Breeding Association,,Box 38,Yorkville,TN,38389,,Assigned 01/30/1974; End Date 05/27/1980,
65,Roy Selover Company Livestock Enterprises,,924 Elm Street,Modesto,CA,95351,,Assigned 01/30/1974; End Date 05/18/2006,
66,"BOV Imports, Inc.",,205 Livestock Exchange Building,Denver,CO,80216,,Assigned 01/30/1974; End Date 05/18/2006,
67,"Canadian Stock Breeders Service, Ltd.",,Box 98,Winterburn,AB,CANADA,,Assigned 01/30/1974; End Date 05/18/2006,
68,Chilliwack Artificial Insemination Centre,,10119 Kent Road,Chilliwack,BC,CANADA,,Assigned 01/30/1974; End Date 10/22/1979,
69,"Nova Scotia Animal Breeders Cooperative, Ltd.",,Route 1,Truro,NS,CANADA,902.895.1519,Assigned 01/30/1974; End Date 12/29/2005,
70,Semex Alliance,Semex Alliance,"595 County Road 44, PO Box 99",Kemptville,ON,K0G 1J0 CANADA,"613.258.5944, Fax:613.258.3719",Assigned 01/30/1974,"Formerly assigned to EastGen; Eastern Breeders, Inc."
71,Semex Alliance,Semex Alliance,"5653 Hwy 6 North, RR #5",Guelph,ON,N1H 6J2 CANADA,"519.821.5060, Fax:519.821.7225",Assigned 01/30/1974,"Formerly assigned to EastGen; United Breeders, Inc.; Gencor, Inc."
72,EastGen Inc.,,7660 Mill Road,Guelph,ON,N1H 6J1 CANADA,"519.821.2150, Fax:519.763.6582",Assigned 01/30/1974,"Formerly assigned to Western Ontario Breeders, Inc.; Gencor, Inc."
73,Semex Alliance,Semex Alliance,875 Boulevard Laurier Quest,Ste-Madeleine,QC,J0H 1S0 CANADA,"450.774.1450, Fax:450.774.9471",Assigned 01/30/1974,"Formerly assigned to Centre D'Insemination Artificelle du Quebec,Inc. (CIAQ)"
74,Universal Genetics Ltd.,,P.O. Box 1348,Okotoks,AB,T1S 1B3 CANADA,403.630.4391,Assigned 01/30/1974; End Date 04/30/2007,"Formerly assigned to Universal Semen Service, Ltd."
75,"High Plains Genetics, LLC",,13171 High Plains Place,Piedmont,SD,57769,"605.787.4808, Fax:605.787.7127",Assigned 10/27/1983,Formerly assigned to Y Tex Corporation
76,"Inguran, LLC dba STgenetics-Taurus",STgenetics,"125 Taurus Lane, P.O. Box 164",Mehoopany,PA,18629,"570.833.5513, Fax:570.833.2690",Assigned 03/22/1974,"Formerly assigned to Taurus Service, Inc."
77,Pan American Breeders,,Box 818,Terrell,TX,75160,,Assigned 04/08/1974; End Date 05/18/2006,
78,GENEX Cooperative,Genex,522 Sheffield Road,Ithaca,NY,14850,"607.272.2011, Fax:607.272.3928","Assigned 05/02/1974; Reactivated: January, 2011",Formerly known as Genex Cooperative Custom Semen Service
79,Northeast Frozen Semen Service,,P.O. Box 153,Lafayette,NC,13084,,Assigned 06/21/1974; End Date 05/18/2006,
80,STgenetics Canada ULC,Stgenetics,"7970 Perth Road 147, Route 4",Listowel,ON,N4W 3G9 CANADA,"519.291.9916, Fax:519.291.3532",Assigned 09/27/2005,"Formerly known as Cogent Canada Corp; Foundation Genetics Service, Inc.; Steele's Semen Service"
81,"Hybrid Vigor, Inc.",,,Buffalo Valley,TN,38548,,Assigned 07/16/1974; End Date 03/21/2006,
82,North Carolina State University,,P.O. Box 5127,Raleigh,NC,27607,,Assigned 07/05/1974; End Date 05/18/2006,
83,"Illini Sire Service, Inc.",,201 Park Street,Cornell,IL,61319,815.358.2897,Assigned 07/05/1974; End Date 05/18/2006,"Formerly assigned to Bovine Cryogenics, Inc."
84,Landmark Genetics Custom Freezing Business,,Box 939,Hughson,CA,95326,209.883.4001,Assigned 07/16/1974; End Date 03/21/2006,Formerly assigned to Carnation/Genetics
85,Tri-State Breeders Cooperative Custom Freezing Business,,,Westby,WI,54467,608.356.8357,Assigned 07/16/1974; End Date 03/03/2006,
86,Ozark Bull Center,,Route 4 Box 223,Ava,MO,65608,417.683.3894,Assigned 07/30/1974; End Date 05/18/2006,
87,Arizona Bull Center Custom Semen Freezing Service,,14217 North 51st Avenue,Glendale,AZ,85306,,Assigned 07/30/1974; End Date 05/18/2006,
88,Frontier Genetics,,80756 Hickey Lane,Hermiston,OR,97838,541.567.2930,Assigned 02/10/1997; End Date 03/22/2012,Formerly assigned to Oasis Genetics; International Breeders Service; Gibson's Custom Collection Service
89,New Brunswick Central AI Cooperative Ltd.,,Box 1567,Fredericton,NB,E3B 5G2 CANADA,506.454.3327,Assigned 08/20/1974; End Date 05/18/2006,
90,GENEX-Hawkeye West,Genex,3800 Duck Creek Road,Billings,MT,59101,"406.656.9034, Fax:406.656.9870",Assigned 08/13/1992,Formerly assigned to Hawkeye West; Big Sky Genetics
91,Dependa-Bull Genetics,,5301 Knoxboro Road,Munnsville,NY,13409,"315.829.2250, Fax:315.829.2250",Reassigned 1/20/2012,Assigned 10/03/1974; End date 6/22/2020
92,"AI International, Ltd.",,"Route 2, Box 136-E",Philomath,OR,97370,,Assigned 10/03/1974; End Date 05/18/2006,
93,Smith Livestock Service,,Box 775,Roundup,MT,59072,,Assigned 11/04/1974; End Date 05/18/2006,
94,ABS Global,ABS Global,"P.O. Box 459, 1525 River Road",Deforest,WI,53532,"608.846.3721, Fax:608.846.6444 or 6446",Assigned 12/02/1974; Marketing only 01/04/2018,"Formerly assigned to St. Jacobs ABC, Elmira, ON CANADA"
95,"Canadian Genetics, Ltd.",,Box 6,Yorktown,SK,S3N 2V6 CANADA,,Assigned 12/02/1974,Formerly assigned to Saskatchewan Artificial Breeders Cooperative Ltd.
96,Hualalai Ranch & Vet Clinic Reproduction Lab,,"Route 1, Box 394",Holualoa,HI,96725,808.325.7112,Assigned 12/06/1974,
97,CRV Holding B.V.,CRV Holding,P.O. Box 454,Arnhem 6800 AL,,THE NETHERLANDS,"31 26 3898522, Fax:31 26 3898591",Assigned 09/22/1997,
98,Cattle Reproduction Inc.,,4527 88th Street,Omaha,NE,68127,,Assigned 03/20/1975; End Date 05/18/2006,
99,Hoffman A.I. Breeders,,1950 South Highway 89-91,Logan,UT,84321,"435.753.7883, Fax:435.753.2951",Assigned 03/12/1985,Formerly assigned to Hi Country AI
100,"JLG Enterprises, Inc.",JLG Enterprises,P.O. Box 1375,Oakdale,CA,95361,"209.847.4797, Fax:209.847.5874",Assigned 04/22/1975,Formerly assigned to JLG Custom Freezing Service
101,Johansen's Custom Collecting and Freezing Service,,Route 3 Box 3144,Nampa,ID,83650,,Assigned 04/22/1975; End Date 05/18/2006,
102,Agro Brothers Ltd.,,Route 2,Hamilton,ON,CANADA,,Assigned 04/22/1975; End Date 05/18/2006,
103,Treasure Valley Breeding Service,,P.O. Box 615,Meridan,ID,83642,,Assigned 06/06/1975; End Date 05/18/2006,
104,Newk's Semen Processing,,Route 1,Mount Vernon,MO,65712,,Assigned 02/14/1976; End Date 05/18/2006,
105,AI Breeding Service,,3668 Summerhill,Carson City,NV,89701,,Assigned 06/22/1976; End Date 05/18/2006,
106,"Nebraska Bull Service, a division of Vogler Semen Centre",Vogler Semen Centre,"38364 Road 720, P.O. Box 998",McCook,NE,69001,"308.345.2900, Fax:308.345.2632",Assigned 02/14/1977,
107,AA Breeders,,214 Eagle Drive,McGregor,IA,52157,"563.880.2732, Fax:563.873.3180",Assigned 03/10/1977; End Date 06/18/2021,"Formerly P.O. Box 161, Fayette, IA 52142"
108,Minnesota Valley Breeders Association,,Custom Collection Service,New Prague,MN,56071,612.758.4443,Assigned 05/02/1977; End Date 05/18/2006,
109,Bullnanza,,908 North Prairie Road,Stillwater,OK,74075,"405.377.8037, Fax:405.377.4541",Assigned REI 12/19/1977. End Date 11/22/2021;Bullnanza 11/23/2021,"formerly known as Reproduction Enterprises, Inc. (REI)"
110,Western Herd Sires/Delta G,,P.O. Box 1807,Turlock,CA,95380,209.667.2323,Assigned 01/03/1978; End Date 05/18/2006,
111,Longview Marketing Inc.,,P.O. Box 297,Mead,CO,80542,,Assigned 03/02/1979; End Date 05/18/2006,
112,Ministry of Agriculture & Fisheries,,"Livestock Development Division, Old Harbour P.O.",Bodles,,"Jamaica, West Indies",,Assigned 02/01/1978; End Date 05/18/2006,
113,Center Insemination Porcine du Quebec,,"C.P. 220, St. Lambert de Levis",Beauce Nord,QC,G0S 2W0 CANADA,,Assigned 04/25/1978; End Date 05/18/2006,
114,Alta Genetics,Alta Genetics,P.O. Box 3608 (280212 Range Road 292A),Airdrie,AB,T4B 2B8 CANADA,"403.946.5668, Fax:403.946.5721",Assigned 08/31/1978; End Date 01/01/2020,Formerly assigned to Independent Breeders Service
115,Alberta Swine Breeding Center,,Route 2,Leduc,AB,T0E 2X2 CANADA,,Assigned 04/04/1979; End Date 05/18/2006,
116,Bainbrook Dairy Goat AI Center,,,Milgrove,ON,CANADA,,Assigned 04/04/1979; End Date 05/18/2006,
117,"International Agricultural Services, Inc.",,320 Judah Street,San Francisco,CA,94122,415.664.4636,Assigned 06/13/1980; End Date 05/18/2006,
118,Superior Genetics,,P.O. Box 189,Shandon,OH,45063,513.738.3885,Assigned 12/24/1980; End Date 05/13/2008,"Formerly assigned to Ohio Breeders Supply, 2864 Chapel Road, Okeana, OH 45053"
119,Southern Genetic Services,,Route 1 Box 63-B,Poteau,OK,74953,918.647.8145,Assigned 10/23/1981; End Date 01/04/2006,Formerly assigned to Southeastern Oklahoma Reproduction Services
120,Zimmerman's Custom Freezing,,131 Red Well Road,New Holland,PA,17557,717.940.1430,Assigned 08/11/1983,"Formerly Better Life Research, Inc."
121,"Advanced Genetics, Inc.",Select Sires,Route 2,Leesburg,ID,46538,219.453.3602,Assigned 09/19/1983; End Date 05/18/2006,
122,URUS,Urus,P.O. Box 469 (100 MBC Drive),Shawano,WI,54166,715.526.7565,Assigned 06/01/1995; Marketing only beginning 10/27/2018,"Formerly assigned to Alta California; Network Genetics; Spermco, Inc. (10/27/1983)"
123,J.N. Farnham Custom Freezing Service,,8338 West Glenrosa Avenue,Phoenix,AZ,85037,,Assigned 01/14/1984; End Date 05/18/2006,
124,"Texas Breeders Service, Inc.",,P.O. Box 1635,San Marcos,TX,78667,512.357.6162,Assigned 02/06/1984; End Date 05/18/2006,Formerly assigned to Genetic Resources
125,Southeastern Reproduction Center,,"Route 3, Box 216",Graceville,FL,32440,904.263.6983,Assigned 04/19/1984; End Date 05/18/2006,
126,Price's Embryo Genetics,,1601 East Second Street,Rosewell,NM,88201,505.622.2181,Assigned 04/24/1984; End Date 05/18/2006,
127,Palouse Embryonics,,NW 2105 Friel,Pullman,WA,99163,,Assigned 06/25/1984; End Date 05/18/2006,
128,"CryovaTech International, Inc.",,"Route 5, Box 48, Hwy 35 North",River Falls,WI,54022,715.425.6661,Assigned 09/07/1984; End Date 05/18/2006,
129,"Vogler Semen Centre Lab, Inc.",Vogler Semen Centre,27104 Church Road,Ashland,NE,68003,"402.944.2584, Fax:402.944.2758",Assigned 09/11/1984,Formerly assigned to Semen Centre
130,National Breeding Company,,27765 Case Road,Wauconda,IL,60084,312.526.8310,Assigned 11/21/1984; End Date 05/18/2006,
131,Majestic Bovines,,P.O. Box 166,Elberta,UT,84626,801.667.3333,Assigned 01/29/1985; End Date 04/12/2006,
132,Leprechaun Genetics,,18116 Garden Valley Road,Marengo,IL,60152,815.568.8398,Assigned 04/09/1985; End Date 05/18/2006,
133,"Dr. Barry Hays, DVM",,P.O. Box 877,Shelbyville,KY,40065,502.633.4338,Assigned 05/20/1985; End Date 05/18/2006,
134,Kentucky Bovine Services,,"Route 6 Box 2, TJ Road",Leitchfield,KY,42654,,Assigned 06/26/1985; End Date 05/18/2006,
135,Southern Genetics,,P.O. Box 141,Shady Dale,GA,31085,404.468.2188,Assigned 07/01/1985,
136,DJR Collection Service,,P.O. Box 446,Irrigon,OR,97844,503.922.4342,Assigned 08/13/1985; End Date 05/18/2006,
137,Nichols Cryo-Genetics,,11745 NE 112th Street,Maxwell,IA,50161,"515.967.5311, Fax:515.967.5378",Assigned 07/12/1999,Formerly assigned to Iowa State University
138,Interglobe Sire Service,,14814 North 1500 East Road,Pontiac,IL,61764,"815.844.3733, Fax:815.844.3552",Assigned 11/12/1985,Formerly known as Interglobe Genetics 1985-3/31/2020
139,Progressive Genetics,,P.O. Box 1378,Bartow,FL,33830,,Assigned 12/26/1985; End date 05/18/2006,
140,Genetic Connection,,5001 County Line Road,Springfield,OH,45502,"937.399.1201, Fax:937.399.8789",Assigned 09/25/2004; End Date 04/25/2012,Formerly Sire Technology International
141,"Granada Sire Services, Inc.",,P.O. Box 99,Wheelock,TX,77882,409.828.5156,Assigned 03/24/1986; End Date 05/18/2006,
142,Sire Services,,6248 Ramona Street,Rancho Cucamonga,CA,91701,,Assigned 04/28/1986; End Date 05/18/2006,
143,"Purebred Embryos Company, Inc.",,3927 Green Valley Drive,Bryan,TX,77802,409.822.5922,Assigned 08/11/1986; End Date 05/18/2006,
144,Custom Cryogenics,,P.O. Box 1122,Oakdale,CA,95361,209.847.7112,Assigned 09/12/1986; End Date 05/18/2006,
145,Powell Genetic Services,,"Route 2, Box 107",Howard,SD,57349,,Assigned 03/09/1987; End Date 05/18/2006,
146,Premier Veterinary Services,,P.O. Box 607,Shelbyville,KY,40065,,Assigned 04/20/1987; End Date 01/03/2006,
147,Androgenics,,"11240 26 Mile Road, P.O. Box 183",Oakdale,CA,95361-0183,"209.847.1101, Fax:209.847.5711",Assigned 12/16/1987,
148,"Greater Northern Genetics International, Ltd.",,Route 2 Box 13A,Kathryn,ND,58049,701.762.4469,Assigned 02/08/1988; End Date 05/18/2006,
149,Rocky Mountain Bovine Reproduction Center,,13601 North Washington Street,Denver,CO,80233,970.522.9011,Assigned 02/10/1988; End Date 05/18/2006,
150,Pacific International Genetics,,25725 68th Avenue,Los Molinos,CA,96055,530.529.0703,Assigned 02/17/1988; End Date 05/18/2006,"Formerly Equine Veterinary Services, POB 1097, Half Moon Bay, CA 94019"
151,"Inguran, LLC, dba STgenetics-FDL",STgenetics,W7652 Hwy 151 South,Fond du Lac,WI,54937,"920.921.6029, Fax:920.286.6057",Assigned 05/02/1988,"Formerly TransWorld Genetics;Complete Sire Services, Inc."
152,Apex Genetics,,1600 East Williams Street,Apex,NC,27539,919.362.8878,Assigned 05/03/1988; End Date 05/18/2006,
153,"Southeastern Semen Services, Inc.",,16878 45th Road,Wellborn,FL,32094,"386.963.5916, Fax:386.963.4319",Assigned 12/08/1988,
154,Elgin Breeding Service,Elgin Breeding Service,"P.O. Box 68, 875 Central Avenue",Elgin,TX,78621,"512.285.2019, Fax:512.285.9683",Assigned 03/03/2006,01/11/1990
155,Clarks Custom Collection,,W1211-178 Riverview Drive,Sullivan,WI,53178,,Assigned 08/25/1989; End Date 05/18/2006,
156,Cottage Farm Genetics,,971 Old Bells Road,Jackson,TN,38305,"731.664.7400, Fax:731.664.6258",Assigned 01/20/1990,
157,"Great Plains Breeders Service, Inc.",,"P.O. Box 468, 6470 US Highway 83",Shamrock,TX,79079,"806.256.5414, Fax:806.256.3517",Assigned 06/18/1990,
158,"Galaxie Genetics Reproductive Center, Inc.",,4173 Lyman Drive,Hilliard,OH,43026,"614.777.9550, Fax:614.777.9698",Assigned 06/22/1990; End Date 03/22/2012,
159,"Special Sires, Inc.",Semex Alliance,"131 Zook Mill Rd.,P.O. Box 487",Brownstown,PA,17508-0487,717.399.6445,Assigned 08/07/1990; End Date 05/18/2006,
160,Genetics Australia Cooperative Society Limited,,4104 Geelong-Bacchus Marsh Road,Parwan,VIC,3340 AUSTRALIA,61 3 5367 3888,Assigned 01/14/1998; Reassigned 02/19/2013,Formerly Victorian Artificial Breeders Cooperative Society
161,Excel Breeders International,,Box 2353,Bismarck,ND,58502-2353,701.663.0724,Assigned 09/25/1991; End Date 05/18/2006,Formerly assigned to Western Breeders International
162,GB Genetics COFA SRL,,Via Orezola,Sospiro-CR,,26048 ITALY,39 0372 623293,Assigned 11/05/1992,Formerly known as COFA (Cooperativa di Fecondazione Artificiale)
163,"Ambreez, NZ, Ltd.",,P.O. Box 176,Hamilton,,New Zealand,64 78275058,Assigned 11/09/1992; End Date 05/18/2006,
164,Kvaegavlsforeningen Fyn,,Orbaekvej 276,Odense,,SO 5220 DENMARK,45 6615 7333,Assigned 11/17/1992; End Date 05/18/2006,
165,Hampshire Cattle Breeder's Society,,AI Centre,"Lyndhurst, Hampshire",,SO43 7NN ENGLAND,44 0703 283606,Assigned 12/07/1992; End Date 05/18/2006,
